"","거래일자","종목명","종가"
"711",20210104,"삼강엠앤티",21600
"712",20210104,"삼기",5190
"713",20210104,"삼륭물산",9780
"714",20210104,"삼목에스폼",8630
"715",20210104,"삼보모터스",6840
"716",20210104,"삼보산업",2040
"717",20210104,"삼보판지",11650
"718",20210104,"삼본전자",1310
"719",20210104,"삼부토건보통주",4525
"720",20210104,"삼성SDI보통주",671000
"721",20210104,"삼성공조보통주",7370
"722",20210104,"삼성기업인수목적2호",2130
"723",20210104,"삼성물산보통주",144000
"724",20210104,"삼성바이오로직스보통주",829000
"725",20210104,"삼성생명보험보통주",78000
"726",20210104,"삼성에스디에스보통주",186000
"727",20210104,"삼성엔지니어링보통주",13500
"728",20210104,"삼성전기보통주",180000
"729",20210104,"삼성전자보통주",83000
"730",20210104,"삼성제약",6370
